date,v4.0.0-beta1_windows,v4.0.0-beta2_windows,v4.0.0-beta3_windows,v4.0.0-beta1_linux,v4.0.0-beta2_linux,v4.0.0-beta3_linux
2026-06-23,0,0,0,0,0,0
2026-06-24,19,0,0,4,0,0
2026-06-25,29,0,0,9,0,0
2026-06-26,38,0,0,10,0,0
2026-06-27,48,0,0,11,0,0
2026-06-28,52,0,0,20,0,0
2026-06-29,57,0,0,21,0,0
2026-06-30,59,0,0,26,0,0
2026-07-01,62,0,0,27,0,0
2026-07-02,69,0,0,31,0,0
2026-07-03,73,0,0,33,0,0
2026-07-04,80,0,0,35,0,0
2026-07-05,84,0,0,36,0,0
2026-07-06,85,0,0,39,0,0
2026-07-07,87,0,0,41,0,0
2026-07-08,87,0,0,45,0,0
2026-07-10,93,0,0,47,0,0
2026-07-11,97,0,0,49,0,0
2026-07-12,103,0,0,51,0,0
2026-07-13,109,0,0,52,0,0
2026-07-14,111,0,0,53,0,0
2026-07-15,113,0,0,54,0,0
2026-07-16,116,0,0,57,0,0
2026-07-17,119,0,0,58,0,0
2026-07-18,119,0,0,59,0,0
2026-07-19,123,0,0,59,0,0
2026-07-20,124,0,0,62,0,0
2026-07-21,124,0,0,64,0,0
2026-07-22,127,0,0,66,0,0
2026-07-23,131,0,0,66,0,0
2026-07-24,135,0,0,67,0,0
2026-07-25,137,0,0,68,0,0
2026-07-26,144,0,0,68,0,0
2026-07-27,154,0,0,68,0,0
2026-07-28,155,0,0,68,0,0
2026-07-29,156,0,0,68,0,0
2026-07-30,161,0,0,68,0,0
2026-07-31,163,0,0,68,0,0
2026-08-01,165,0,0,68,0,0
2026-08-02,165,0,0,68,0,0
2026-08-03,166,0,0,69,0,0
2026-08-04,168,0,0,69,0,0
2026-08-05,173,0,0,70,0,0
2026-08-06,173,6,0,70,3,0
2026-08-07,173,19,0,70,5,0
2026-08-08,173,22,0,70,5,0
2026-08-09,173,31,0,70,8,0
2026-08-10,173,33,0,70,11,0
2026-08-11,173,33,0,71,15,0
2026-08-12,173,40,0,71,18,0
2026-08-13,173,42,0,71,19,0
2026-08-14,173,42,0,71,20,0
2026-08-15,173,44,0,71,22,0
2026-08-16,173,45,0,71,22,0
2026-08-17,173,46,0,71,25,0
2026-08-18,174,50,0,71,25,0
2026-08-19,174,55,0,71,28,0
2026-08-20,175,55,0,71,28,0
2026-08-21,175,61,0,71,31,0
2026-08-22,175,63,0,71,32,0
2026-08-23,176,67,0,71,37,0
2026-08-24,176,73,0,74,38,0
2026-08-25,176,77,0,74,39,0
2026-08-26,176,82,0,74,42,0
2026-08-27,177,84,0,74,43,0
2026-08-28,178,85,0,74,43,0
2026-08-29,178,89,0,74,44,0
2026-08-30,179,93,0,74,44,0
2026-08-31,179,95,0,74,46,0
2026-09-01,179,97,0,74,46,0
2026-09-02,179,100,0,74,47,0
2026-09-03,179,100,5,74,47,0
2026-09-04,179,100,7,74,47,3
2026-09-05,180,101,18,75,48,6
2026-09-06,180,101,22,75,48,7
2026-09-07,180,101,28,76,48,8
2026-09-08,180,101,35,76,48,8
2026-09-09,180,101,37,76,48,10
2026-09-10,180,101,48,76,48,12
2026-09-11,182,101,58,76,48,17
